transaction_id,timestamp,revenue_category,amount_cad,payment_method,terminal_zone
T0400,2026-08-23 09:29:00,Parking,104.4,Card,Transborder
T0401,2026-08-22 23:48:00,Ground Transportation,31.36,Mobile,Transborder
T0402,2026-08-28 17:12:00,Food & Beverage,41.74,Mobile,International
T0403,2026-09-06 11:16:00,Parking,7.01,Cash,Domestic
T0404,2026-09-06 06:32:00,Retail,40.96,Mobile,International
T0405,2026-08-20 00:35:00,Food & Beverage,86.84,Cash,Domestic
T0406,2026-09-14 12:44:00,Ground Transportation,12.9,Mobile,Domestic
T0407,2026-09-07 06:00:00,Ground Transportation,15.8,Mobile,International
T0408,2026-09-06 00:58:00,Retail,45.61,Card,Domestic
T0409,2026-08-31 08:44:00,Parking,25.49,Cash,International
T0410,2026-09-08 06:57:00,Ground Transportation,3.21,Cash,Transborder
T0411,2026-08-16 00:23:00,Parking,16.61,Card,Transborder
T0412,2026-09-13 17:04:00,Ground Transportation,64.67,Card,International
T0413,2026-09-07 06:10:00,Ground Transportation,19.98,Cash,International
T0414,2026-08-04 00:09:00,Parking,19.96,Card,International
T0415,2026-09-11 07:35:00,Parking,43.64,Cash,Domestic
T0416,2026-08-21 19:46:00,Retail,32.18,Cash,Transborder
T0417,2026-08-10 02:43:00,Food & Beverage,19.12,Mobile,Transborder
T0418,2026-08-27 03:53:00,Retail,14.92,Mobile,International
T0419,2026-09-14 22:14:00,Retail,136.63,Cash,Domestic
T0420,2026-08-29 00:54:00,Ground Transportation,57.68,Mobile,Domestic
T0421,2026-08-18 00:17:00,Parking,-35.54,Cash,Transborder
T0422,2026-08-06 04:49:00,Retail,37.17,Card,Transborder
T0423,2026-09-02 04:00:00,Ground Transportation,22.65,Cash,Transborder
T0424,2026-08-19 16:29:00,Ground Transportation,31.9,Card,International
T0425,2026-08-09 02:24:00,Ground Transportation,20.81,Cash,Transborder
T0426,2026-09-08 14:08:00,Retail,11.87,Card,Transborder
T0427,2026-09-09 22:15:00,Food & Beverage,32.81,Card,International
T0428,2026-08-01 22:09:00,Food & Beverage,19.41,Mobile,International
T0429,2026-08-21 02:01:00,Food & Beverage,34.05,Cash,Transborder
T0430,2026-09-09 08:30:00,Ground Transportation,38.69,Cash,International
T0431,2026-09-12 13:08:00,Ground Transportation,35.34,Mobile,International
T0432,2026-08-20 12:15:00,Ground Transportation,11.01,Card,Domestic
T0433,2026-08-20 12:57:00,Parking,17.76,Cash,Domestic
T0434,2026-09-02 14:50:00,Retail,19.71,Cash,International
T0435,2026-08-17 21:49:00,Parking,49.06,Cash,Transborder
T0436,2026-09-02 06:55:00,Retail,47.34,Mobile,International
T0437,2026-08-04 20:27:00,Food & Beverage,13.62,Cash,Transborder
T0438,2026-08-22 08:50:00,Parking,7.69,Cash,Domestic
T0439,2026-08-12 08:51:00,Ground Transportation,107.59,Cash,International
T0440,2026-08-04 18:17:00,Retail,34.36,Mobile,International
T0441,2026-09-05 15:21:00,Parking,6.69,Cash,Transborder
T0442,2026-08-27 07:55:00,Retail,15.58,Mobile,Transborder
T0443,2026-08-08 19:57:00,Parking,50.45,Cash,International
T0444,2026-08-15 01:07:00,Retail,91.17,Mobile,International
T0445,2026-08-08 21:40:00,Parking,81.55,Mobile,International
T0446,2026-08-29 14:55:00,Parking,33.33,Card,Domestic
T0447,2026-08-24 05:14:00,Parking,25.07,Mobile,Transborder
T0448,2026-08-07 05:46:00,Retail,10.06,Mobile,Domestic
T0449,2026-09-03 22:50:00,Parking,26.7,Cash,International
T0450,2026-08-08 02:04:00,Ground Transportation,11.36,Card,Transborder
T0451,2026-09-05 19:43:00,Food & Beverage,17.9,Cash,Domestic
T0452,2026-08-16 19:28:00,Parking,45.58,Cash,Domestic
T0453,2026-09-08 07:53:00,Ground Transportation,20.73,Mobile,Transborder
T0454,2026-08-12 00:54:00,Ground Transportation,19.63,Card,Domestic
T0455,2026-08-27 12:03:00,Retail,24.04,Mobile,Domestic
T0456,2026-08-03 14:22:00,Food & Beverage,117.84,Mobile,Transborder
T0457,2026-08-22 21:12:00,Food & Beverage,9.06,Cash,Transborder
T0458,2026-08-22 19:22:00,Retail,30.84,Mobile,Domestic
T0459,2026-08-14 08:26:00,Ground Transportation,76.86,Mobile,International
T0460,2026-09-01 06:52:00,Parking,23.99,Cash,International
T0461,2026-08-17 07:28:00,Ground Transportation,56.97,Cash,Transborder
T0462,2026-08-16 10:52:00,Retail,7.17,Card,Transborder
T0463,2026-08-30 23:43:00,Ground Transportation,21.27,Cash,International
T0464,2026-08-12 05:06:00,Food & Beverage,12.49,Cash,International
T0465,2026-08-09 09:31:00,Retail,23.79,Cash,Domestic
T0466,2026-09-08 01:25:00,Parking,-24.18,Card,International
T0467,2026-08-05 22:29:00,Ground Transportation,26.14,Cash,Transborder
T0468,2026-08-12 16:08:00,Food & Beverage,45.29,Cash,Domestic
T0469,2026-08-03 19:07:00,Food & Beverage,2.0,Cash,Domestic
T0470,2026-09-02 10:24:00,Parking,15.0,Cash,Domestic
T0471,2026-08-18 07:38:00,Food & Beverage,29.32,Cash,Domestic
T0472,2026-08-12 17:42:00,Retail,3.42,Card,International
T0473,2026-08-21 20:16:00,Retail,39.02,Cash,International
T0474,2026-09-05 05:54:00,Retail,14.75,Card,Transborder
T0475,2026-09-05 13:48:00,Parking,21.59,Mobile,Domestic
T0476,2026-08-12 23:03:00,Retail,46.71,Card,Transborder
T0477,2026-09-14 18:47:00,Food & Beverage,58.71,Card,International
T0478,2026-08-23 14:27:00,Parking,39.86,Mobile,Domestic
T0479,2026-08-29 03:36:00,Parking,8.81,Cash,Transborder
T0480,2026-08-05 21:49:00,Parking,38.48,Cash,International
T0481,2026-08-12 14:43:00,Ground Transportation,-40.3,Mobile,Domestic
T0482,2026-08-30 22:06:00,Parking,34.94,Cash,Transborder
T0483,2026-08-13 08:01:00,Food & Beverage,65.12,Mobile,International
T0484,2026-08-01 09:02:00,Ground Transportation,26.66,Mobile,International
T0485,2026-09-05 17:59:00,Parking,63.47,Card,Transborder
T0486,2026-09-13 15:11:00,Ground Transportation,63.21,Cash,Transborder
T0487,2026-08-16 09:12:00,Retail,41.1,Cash,International
T0488,2026-08-05 08:01:00,Retail,31.19,Mobile,Domestic
T0489,2026-09-08 11:47:00,Ground Transportation,35.08,Mobile,International
T0490,2026-08-10 10:51:00,Food & Beverage,74.48,Mobile,International
T0491,2026-08-09 21:37:00,Retail,52.02,Card,International
T0492,2026-09-01 13:23:00,Retail,9.86,Cash,Transborder
T0493,2026-09-03 16:10:00,Food & Beverage,33.52,Card,Domestic
T0494,2026-09-02 23:08:00,Food & Beverage,11.92,Card,International
T0495,2026-08-30 11:46:00,Retail,14.38,Mobile,Domestic
T0496,2026-08-02 21:27:00,Retail,18.49,Cash,Domestic
T0497,2026-08-19 15:55:00,Parking,6.46,Cash,International
T0498,2026-08-25 00:23:00,Ground Transportation,11.22,Cash,Domestic
T0499,2026-09-03 22:25:00,Food & Beverage,67.47,Card,International
T0500,2026-08-07 15:39:00,Ground Transportation,14.3,Mobile,International
